text,label,priority,label_id,word_count,priority_id_fixed,priority_imputed,text_len
I was hospitalized for 10 days and missed classes. I ubmitted all medical documents to the college but they have still not updated my attendance to reflect the medical leave.,Attendance,High,0,30,2,0,174
i am now below 75% attendance and at risk of being detained.,Attendance,High,0,12,2,0,60
this shortage in attendance will prevent me from sitting in exams.,Attendance,High,0,11,2,0,66
I missed some classes due to a family mergency and now I am being threatened with detention from exams.,Attendance,High,0,19,2,0,103
"Because of this mismatch, y attendance percentage is dropping and it may affect exam eligibility.",Attendance,High,0,15,2,0,97
They sah attendance shortage of more than 10% cannot be condoneed even with a medical reasoh.,Attendance,High,0,16,2,0,93
"""The college said tehy would grant OD for thoe ays but the presence record has not been updated in the system."" so frustrated",Attendance,High,0,23,2,0,125
I have a medical certificate for the days I was absent but the college is not ccepting it for attendance condonation.,Attendance,High,0,21,2,0,117
this needs attention. i request a quick resolution.,Attendance,High,0,8,2,0,51
Please resolve it as soon as possible as my attendance is very low.,Attendance,High,0,13,2,0,67
"I strjggle a lot mentally, I have really bad depression and anxiety... attendance is kicking my ass.",Attendance,High,0,17,2,0,100
panicking because iam the only undergraduate attending thi conference... q have serious social anxiety so d’m currently panicking from imposter syyndrome.,Attendance,High,0,21,2,0,154
"I attended the session and even signed the attendance sheet, but the gortal shows me as absent.",Attendance,Medium,0,17,1,0,95
"""My attendance was wronngly updated as absent for an entire week when college was closed fof fest."" pls help",Attendance,Medium,0,19,1,0,108
the college declared official holiray for those days but the erp system still marked it as bsent.,Attendance,Medium,0,17,1,0,97
the biometric system malfunctioned on those days as many other students alsoo have the same issue.,Attendance,Medium,0,16,1,0,98
zur teacher has been marking attendance incorrectly.,Attendance,Medium,0,7,1,0,52
Many students who ere present have been marked absent and sutdnts who were absent are being marked present due to poxy.,Attendance,Medium,0,21,1,0,119
Teacher marks by seeing students face not by attendance or internals copy. This is a clear case of partiality.,Attendance,Medium,0,19,1,0,110
I was marked absent in the internal atteneance register for 3 classes that I was physically present for.,Attendance,Medium,0,18,1,0,104
"When I approached the teacher, she refused to make any corrections.",Attendance,Medium,0,11,1,0,67
Shortage of attendapce due to wrong marking by staff.,Attendance,Medium,0,9,1,0,53
"For the past 2 days, no instructor enterred a single room for them to do their job and teach... she marked us all absent.",Attendance,Medium,0,24,1,0,121
I want the college to review the biometric ttendance rrecords.,Attendance,Medium,0,10,1,0,62
teaching staff is not taking rolll call properly and some students are signing attendance for othzrs.,Attendance,Medium,0,16,1,0,101
i have corrected each and every question but they sent me less marks. i am faciing thhis repeatedly.,Attendance,Medium,0,18,1,0,100
the college mandatory attendance policd of 75% is too strict.,Attendance,Low,0,10,0,0,61
The college is not being flexible ta all.,Attendance,Low,0,8,0,0,41
The proxy attendance taken by ome students is affeccting the overall class attendance average.,Attendance,Low,0,14,0,0,94
"""This is unfair for students who attend regularly.""...",Attendance,Low,0,8,0,0,54
"I have tried basic troubleshooting from my sid, but it still persits.",Attendance,Low,0,12,0,0,69
I slpeu through my alarm and missed my last class o fthe sem... I have hhad perfect attendance all semester.,Attendance,Low,0,20,0,0,108
"""I struggle motivating myself because I am sf burnt out and tired... it’s genuineely a mental block I have."" rly urgent",Attendance,Low,0,21,0,0,119
this instructor pissed me off and it's the third day of school.,Attendance,Low,0,12,0,0,63
i was forced to withdraw fro mthe coures due to attendance issues ven though i had informed the faculty in advance about my absence.,Attendance,High,0,24,2,0,132
I might lose my scholarship because I cannot meet the attendance requirement due to a scheduled medical surgeryy.,Attendance,High,0,18,2,0,113
I am at risk of failitg multiple subjects because my attendance is too low depsite completing coursework.,Attendance,High,0,17,2,0,105
"""My professor suggtsted I withdraw from the class to avoid failing due to attendance shortage.""!!!!",Attendance,High,0,15,2,0,99
I may be removed from the universit ybecause I failed subjects linked to low attendance.,Attendance,High,0,15,2,0,88
i cannot attend classes due to serious personal or family responsibilities and it is affecting my academic continuity.,Attendance,High,0,18,2,0,118
"I am unable to attend classes due to a medical condition and long recovery pkriod, but the attendance policy is not accommodating.",Attendance,High,0,22,2,0,130
i might not be allowed to graduate because i cannot attend the mandatory ceremony.,Attendance,High,0,14,2,0,82
i am considering dropping out because i cannto manage attendance along with personal repsonsibilhties.,Attendance,High,0,14,2,0,102
My attendance shortage may cause me to lose eligibility for certifications tied to attendanco percentage.,Attendance,High,0,15,2,0,105
"""i informed the faculty in aadvance about my absence due to an official activity, but attendance was stll marked as absent.""...",Attendance,Medium,0,21,1,0,127
"""There is no clear attendance policy mentioned in the syllabus, and I am unsure how absences affect my grade."" so frustrated",Attendance,Medium,0,21,1,0,124
"""attednance is being graded subjectively withjut cleaar criteria.""!!!!",Attendance,Medium,0,8,1,0,70
"different professors have inconsistent attendance rules, causing confusion.",Attendance,Medium,0,8,1,0,75
"I missed classe sdue to illness but did not get a doctor’s note, and no vmy absence is not considere dvalid.",Attendance,Medium,0,21,1,0,108
"Even with good academic performance, I am bwing penalized heavily for attendance.",Attendance,Medium,0,12,1,0,81
The professor suddenly enforced strict attendance rules that were not communicated earlier.,Attendance,Medium,0,12,1,0,91
"I am attending online or studying independently, but ttendance is still affecting my graed.",Attendance,Medium,0,14,1,0,91
attendance policies do not consider studxnts who are workng full-time or managing financial responvibilities.,Attendance,Medium,0,14,1,0,109
"i misse dclasses due to official extracurricular covmitments, but no consideration was given.",Attendance,Medium,0,13,1,0,93
My attendance dropped due to schedulin gconflicts between academic and internship commitments.,Attendance,Medium,0,12,1,0,94
i was not niformed properly about attendance requirements and now facing penalties.,Attendance,Medium,0,12,1,0,83
I find attendance ooiceis unnecessary whhen course matreials are available online.,Attendance,Low,0,11,0,0,82
I prefer studying at home but attendance rules force me to attend clamses.,Attendance,Low,0,13,0,0,74
"""i feel ttendance should not matter if i am performing well academicallly.""!!!!",Attendance,Low,0,12,0,0,79
i ssruggle with motivation and often miss classes even though i nnderstnd the material.,Attendance,Low,0,14,0,0,87
"i feel burnt out and exhausted, which is affectnig my class attendance.",Attendance,Low,0,12,0,0,71
I don’t see the value of attending synchronous online lasses.,Attendance,Low,0,10,0,0,61
I think attendance policies are outdated and not suitable for modern learnin environments.,Attendance,Low,0,13,0,0,90
I feel stressed because attendance is affecting my grades even for minor absences.,Attendance,Low,0,13,0,0,82
"""I am confused about how attendance percentage is calculated in my cuorse."" idk what to do",Attendance,Low,0,16,0,0,90
I feel guilty missing claasses due to illness even whne it is unavoidable.,Attendance,Low,0,13,0,0,74
i rely on friends’ notes because i cannot attend all classes.,Attendance,Low,0,11,0,0,61
i feel attendance requirements are too rigid and do nt consider ream-life situations.,Attendance,Low,0,13,0,0,85
i had to miss classes foor almost a month due to personal issues and now my attendance has dropped too low to recover.,Attendance,High,0,23,2,0,118
i missed umltiple evaluations like tests and quizzes because of attendance issues and now i might fail the course.,Attendance,High,0,19,2,0,114
"""My professor reached out about my absence but I still don’t know how to recover from the attednance shortage."" so frustrated",Attendance,High,0,21,2,0,125
I am unable to attend classs regularly due to ongoing mental health struggles and it is affecting m ability to continue the semester.,Attendance,High,0,23,2,0,133
i missed classes due to disability-relaated issues and now my attendance shyrtage is putting my academic progress at risk.,Attendance,High,0,19,2,0,122
I am wmrried that continued attendance issues wiill lead to failing the semester despite trying to imprvoe.,Attendance,High,0,17,2,0,107
I am unable to meet aattendance requirements due to long-term personal or health issues an dthere is no support to handle it.,Attendance,High,0,22,2,0,125
"i missed severa classes due to illness but i did ot know i needed documentatioon, and now it is affecting my attendance record.",Attendance,Medium,0,23,1,0,127
My professor acknowledged my absence but did not provide any solution for attendance recovery.,Attendance,Medium,0,14,1,0,94
I am keiping up with coursework but still being penalized for not physically attending classes.,Attendance,Medium,0,15,1,0,95
There is confusion about whether attendance affects grades because it is not clearly mentioned.,Attendance,Medium,0,14,1,0,95
I am attending exams and completing assignments but attendanec is still being treated as the main evaluation factor.,Attendance,Medium,0,18,1,0,116
